Fecha,temperatura (°F),punto_de_rocio (°F),humedad,Columna1,Velocidad del viento (mph),rafaga_viento (mph),presion
19-9-2005:11:00,91,81,71,VAR,3,0,29.80 °in
19-9-2005:11:10,90,81,75,SSW,9,0,29.80 °in
19-9-2005:12:00,88,79,75,SW,12,0,0.00 °in
19-9-2005:13:00,86,77,74,WSW,8,0,29.78 °in
19-9-2005:14:00,86,77,74,WSW,10,0,29.78 °in
19-9-2005:15:00,86,77,74,SW,9,0,29.77 °in
19-9-2005:16:00,86,77,74,WSW,8,0,29.74 °in
19-9-2005:17:00,86,79,79,W,5,0,29.75 °in
19-9-2005:18:00,84,77,79,WSW,5,0,29.78 °in
19-9-2005:19:00,84,79,84,WNW,6,0,29.78 °in
19-9-2005:20:00,84,79,84,VAR,3,0,29.79 °in
19-9-2005:21:00,84,79,84,VAR,3,0,29.81 °in
19-9-2005:22:00,84,79,84,VAR,3,0,29.83 °in
19-9-2005:23:00,82,79,89,CALM,0,0,29.83 °in
20-9-2005:00:00,82,79,89,VAR,2,0,29.81 °in
20-9-2005:01:00,82,79,89,CALM,0,0,29.80 °in
20-9-2005:02:00,82,79,89,CALM,0,0,29.79 °in
20-9-2005:03:15,75,75,100,SSW,9,0,29.82 °in
20-9-2005:03:35,75,75,100,SSW,6,0,29.81 °in
20-9-2005:04:00,77,75,94,SW,6,0,29.82 °in
20-9-2005:05:00,75,75,100,VAR,3,0,29.81 °in
20-9-2005:06:00,77,75,94,CALM,0,0,29.81 °in
20-9-2005:07:00,79,77,94,ESE,8,0,29.81 °in
20-9-2005:08:00,81,77,89,SE,6,0,29.83 °in
20-9-2005:09:00,84,77,79,SSW,6,0,29.84 °in
20-9-2005:10:00,86,77,74,SW,12,0,29.86 °in
20-9-2005:11:00,86,79,79,SSW,7,0,29.86 °in
20-9-2005:12:00,86,77,74,VAR,3,0,29.84 °in
20-9-2005:13:00,88,77,70,SW,7,0,29.83 °in
20-9-2005:14:00,88,79,75,W,8,0,29.81 °in
20-9-2005:15:00,88,79,75,W,5,0,29.78 °in
20-9-2005:16:00,84,79,84,W,7,0,29.77 °in
20-9-2005:17:00,84,79,84,W,7,0,29.79 °in
20-9-2005:18:00,84,79,84,W,5,0,29.81 °in
20-9-2005:19:00,82,79,89,W,5,0,29.82 °in
20-9-2005:20:00,82,79,89,W,7,0,29.85 °in
20-9-2005:21:00,82,79,89,W,5,0,29.86 °in
20-9-2005:22:00,82,79,89,WNW,7,0,29.85 °in
20-9-2005:23:00,82,79,89,W,5,0,29.87 °in
21-9-2005:00:00,82,77,84,WNW,5,0,29.87 °in
21-9-2005:01:00,82,77,84,WNW,7,0,29.85 °in
21-9-2005:02:00,84,77,79,WNW,7,0,29.83 °in
21-9-2005:03:00,82,77,84,WNW,5,0,29.81 °in
21-9-2005:04:00,81,79,94,E,5,0,29.80 °in
21-9-2005:04:05,0,0,0,WSW,5,0,29.81 °in
21-9-2005:05:00,75,75,100,SW,5,0,29.81 °in
21-9-2005:06:00,77,75,94,CALM,0,0,29.80 °in
21-9-2005:07:00,79,75,89,CALM,0,0,29.80 °in
21-9-2005:08:00,81,75,84,VAR,2,0,29.83 °in
21-9-2005:09:00,84,77,79,SE,6,0,29.86 °in
21-9-2005:10:20,0,0,0,SSW,9,0,29.86 °in
21-9-2005:11:00,77,75,94,WSW,6,0,29.89 °in
21-9-2005:11:20,0,0,0,SSE,5,0,29.87 °in
21-9-2005:12:00,77,77,100,SW,5,0,29.89 °in
21-9-2005:12:15,75,73,94,ESE,14,0,29.91 °in
21-9-2005:13:00,75,73,94,SW,5,0,29.91 °in
21-9-2005:13:10,75,73,94,SW,5,0,29.91 °in
21-9-2005:14:00,75,73,94,S,7,0,29.84 °in
21-9-2005:15:00,75,75,100,CALM,0,0,29.81 °in
21-9-2005:16:00,79,75,89,W,9,0,29.81 °in
21-9-2005:17:00,79,75,89,ESE,6,0,29.78 °in
21-9-2005:19:00,77,75,94,ESE,8,0,29.80 °in
21-9-2005:20:00,77,75,94,E,6,0,29.82 °in
21-9-2005:21:00,77,75,94,ESE,9,0,29.83 °in
21-9-2005:22:00,77,75,94,ESE,5,0,29.83 °in
21-9-2005:23:00,77,75,94,VAR,2,0,29.83 °in
22-9-2005:00:00,77,75,94,SE,5,0,29.83 °in
22-9-2005:01:00,77,73,89,E,5,0,29.83 °in
22-9-2005:03:00,75,73,94,SE,5,0,29.80 °in
22-9-2005:04:00,77,73,89,,0,0,29.81 °in
22-9-2005:05:00,77,73,89,CALM,0,0,29.81 °in
22-9-2005:06:00,75,73,94,ESE,5,0,29.81 °in
22-9-2005:07:00,77,75,94,NNE,7,0,29.83 °in
22-9-2005:08:00,81,75,84,VAR,3,0,29.84 °in
22-9-2005:09:00,84,75,74,E,5,0,29.86 °in
22-9-2005:10:00,84,77,79,WSW,6,0,29.87 °in
22-9-2005:11:00,86,77,74,W,6,0,29.87 °in
22-9-2005:12:00,84,77,79,W,8,0,29.86 °in
22-9-2005:13:00,82,77,84,W,5,0,29.81 °in
22-9-2005:14:00,86,77,74,SW,5,0,29.81 °in
22-9-2005:15:00,84,75,74,SW,6,0,29.77 °in
22-9-2005:16:00,84,77,79,SW,5,0,29.73 °in
22-9-2005:17:00,84,77,79,WSW,5,0,29.75 °in
22-9-2005:18:00,82,75,79,VAR,2,0,29.78 °in
22-9-2005:19:00,82,75,79,VAR,2,0,29.78 °in
22-9-2005:20:00,82,75,79,CALM,0,0,29.80 °in
22-9-2005:21:00,82,77,84,CALM,0,0,29.83 °in
22-9-2005:22:00,82,77,84,VAR,2,0,29.84 °in
22-9-2005:23:00,82,77,84,VAR,2,0,29.84 °in
23-9-2005:00:00,81,77,89,CALM,0,0,29.83 °in
23-9-2005:01:00,79,77,94,CALM,0,0,29.82 °in
23-9-2005:02:00,79,77,94,CALM,0,0,29.81 °in
23-9-2005:03:00,79,77,94,CALM,0,0,29.80 °in
23-9-2005:04:00,79,77,94,CALM,0,0,29.80 °in
23-9-2005:05:00,81,77,89,CALM,0,0,29.80 °in
23-9-2005:06:00,79,77,94,CALM,0,0,29.81 °in
23-9-2005:07:00,79,79,100,CALM,0,0,29.83 °in
23-9-2005:08:00,82,77,84,CALM,0,0,29.89 °in
23-9-2005:09:00,86,79,79,N,5,0,29.91 °in
23-9-2005:10:00,81,75,84,N,5,0,29.92 °in
23-9-2005:11:00,82,77,84,VAR,3,0,29.91 °in
23-9-2005:12:00,84,75,74,W,7,0,29.88 °in
23-9-2005:14:00,82,77,84,VAR,2,0,29.84 °in
23-9-2005:15:00,82,77,84,SW,6,0,29.83 °in
23-9-2005:16:00,82,77,84,W,5,0,29.81 °in
23-9-2005:17:00,82,77,84,VAR,3,0,29.82 °in
23-9-2005:18:00,82,77,84,VAR,3,0,29.84 °in
23-9-2005:20:00,81,77,89,CALM,0,0,29.84 °in
23-9-2005:21:00,81,77,89,VAR,2,0,29.89 °in
23-9-2005:22:00,81,77,89,CALM,0,0,29.90 °in
23-9-2005:23:00,81,77,89,CALM,0,0,29.91 °in
24-9-2005:00:00,79,77,94,CALM,0,0,29.90 °in
24-9-2005:03:00,79,77,94,CALM,0,0,29.87 °in
24-9-2005:04:00,77,75,94,SSW,5,0,29.86 °in
24-9-2005:05:00,79,77,94,CALM,0,0,29.86 °in
24-9-2005:06:00,79,77,94,SW,5,0,29.89 °in
24-9-2005:06:12,0,0,0,SSE,6,0,29.91 °in
24-9-2005:06:20,0,0,0,SSE,6,0,29.91 °in
24-9-2005:07:00,77,75,94,CALM,0,0,29.93 °in
24-9-2005:08:00,79,77,94,CALM,0,0,29.95 °in
24-9-2005:09:00,81,77,89,VAR,2,0,29.97 °in
24-9-2005:10:00,81,79,94,CALM,0,0,29.97 °in
24-9-2005:11:00,86,77,74,SW,5,0,29.96 °in
24-9-2005:12:00,86,77,74,WSW,6,0,29.94 °in
24-9-2005:13:00,88,77,70,W,5,0,29.89 °in
24-9-2005:14:00,84,77,79,WNW,5,0,29.86 °in
24-9-2005:15:00,84,77,79,VAR,3,0,29.85 °in
24-9-2005:16:00,82,77,84,WNW,6,0,29.84 °in
24-9-2005:17:00,81,77,89,W,5,0,29.83 °in
24-9-2005:18:00,81,77,89,NW,6,0,29.83 °in
24-9-2005:19:00,81,77,89,VAR,2,0,29.87 °in
24-9-2005:20:00,81,77,89,VAR,2,0,29.88 °in
24-9-2005:21:00,81,77,89,CALM,0,0,29.90 °in
24-9-2005:23:00,79,77,94,VAR,3,0,29.91 °in
25-9-2005:00:00,79,77,94,CALM,0,0,29.90 °in
25-9-2005:01:00,79,75,89,CALM,0,0,29.89 °in
25-9-2005:04:00,79,77,94,CALM,0,0,29.86 °in
25-9-2005:05:00,79,77,94,CALM,0,0,29.88 °in
25-9-2005:06:00,77,75,94,CALM,0,0,29.89 °in
25-9-2005:07:00,79,77,94,CALM,0,0,29.89 °in
25-9-2005:08:00,82,77,84,VAR,2,0,29.91 °in
25-9-2005:09:00,84,77,79,NW,5,0,29.93 °in
25-9-2005:10:00,86,77,74,WNW,5,0,29.93 °in
25-9-2005:11:00,88,79,75,WNW,9,0,29.92 °in
25-9-2005:12:00,84,77,79,NW,5,0,29.90 °in
25-9-2005:13:00,82,77,84,NW,9,0,29.87 °in
25-9-2005:14:00,84,77,79,NW,9,0,29.85 °in
25-9-2005:15:00,84,77,79,WNW,12,0,29.83 °in
25-9-2005:16:00,82,77,84,NW,6,0,29.81 °in
25-9-2005:17:00,84,77,79,NNW,8,0,29.81 °in
25-9-2005:18:00,82,77,84,NW,6,0,29.81 °in
25-9-2005:19:00,82,77,84,NW,5,0,29.84 °in
25-9-2005:20:00,82,77,84,NW,7,0,29.84 °in
25-9-2005:21:00,82,79,89,NW,7,0,29.86 °in
25-9-2005:22:00,82,77,84,NW,5,0,29.86 °in
25-9-2005:23:00,82,79,89,NW,5,0,29.86 °in
26-9-2005:00:00,82,79,89,NNW,7,0,29.87 °in
26-9-2005:01:00,81,77,89,CALM,0,0,29.86 °in
26-9-2005:02:00,81,77,89,CALM,0,0,29.87 °in
26-9-2005:03:00,81,79,94,NNW,5,0,29.83 °in
26-9-2005:04:00,81,79,94,E,5,0,29.82 °in
26-9-2005:05:00,81,79,94,VAR,2,0,29.81 °in
26-9-2005:06:00,81,77,89,W,5,0,29.83 °in
26-9-2005:07:00,79,73,83,VAR,2,0,29.84 °in
26-9-2005:08:00,84,75,74,VAR,2,0,29.88 °in
26-9-2005:09:00,86,75,70,VAR,2,0,29.90 °in
26-9-2005:10:00,86,77,74,WNW,6,0,29.91 °in
26-9-2005:11:00,86,77,74,W,8,0,29.89 °in
26-9-2005:12:00,86,77,74,WNW,8,0,29.86 °in
26-9-2005:13:00,88,79,75,NW,8,0,29.83 °in
26-9-2005:14:00,86,79,79,WNW,6,0,29.80 °in
26-9-2005:15:00,90,79,70,NW,7,0,29.79 °in
26-9-2005:16:00,86,77,74,VAR,2,0,29.78 °in
26-9-2005:17:00,86,77,74,VAR,3,0,29.79 °in
26-9-2005:18:00,84,77,79,NW,5,0,29.81 °in
26-9-2005:20:00,84,77,79,CALM,0,0,29.83 °in
26-9-2005:21:00,84,77,79,VAR,2,0,29.84 °in
26-9-2005:22:00,82,77,84,ENE,12,0,29.87 °in
26-9-2005:23:00,77,75,94,CALM,0,0,29.87 °in
27-9-2005:00:00,79,77,94,CALM,0,0,29.87 °in
27-9-2005:01:00,79,77,94,CALM,0,0,29.86 °in
27-9-2005:02:00,79,77,94,CALM,0,0,29.85 °in
27-9-2005:03:00,79,75,89,CALM,0,0,29.83 °in
27-9-2005:05:00,79,75,89,CALM,0,0,29.82 °in
27-9-2005:06:00,79,73,83,VAR,2,0,29.83 °in
27-9-2005:08:00,82,77,84,VAR,3,0,29.87 °in
27-9-2005:09:00,84,77,79,CALM,0,0,29.89 °in
27-9-2005:10:00,0,0,0,VAR,2,0,29.89 °in
27-9-2005:11:00,88,77,70,WSW,5,0,29.88 °in
27-9-2005:12:00,86,77,74,SW,8,0,29.86 °in
27-9-2005:13:00,86,77,74,W,7,0,29.83 °in
27-9-2005:14:00,88,77,70,W,9,0,29.80 °in
27-9-2005:15:00,90,77,66,W,6,0,29.77 °in
27-9-2005:16:00,88,77,70,W,7,0,29.77 °in
27-9-2005:18:00,84,75,74,W,5,0,29.81 °in
27-9-2005:20:00,82,77,84,W,5,0,29.85 °in
27-9-2005:21:00,82,77,84,VAR,3,0,29.86 °in
27-9-2005:22:00,82,77,84,WNW,6,0,29.88 °in
27-9-2005:23:00,82,77,84,WNW,6,0,29.86 °in
28-9-2005:00:00,82,77,84,W,5,0,29.86 °in
28-9-2005:01:00,82,77,84,WNW,5,0,29.86 °in
28-9-2005:02:00,82,77,84,VAR,2,0,29.83 °in
28-9-2005:03:00,81,77,89,CALM,0,0,29.82 °in
28-9-2005:04:00,81,77,89,ESE,6,0,29.82 °in
28-9-2005:05:00,81,77,89,SE,6,0,29.83 °in
28-9-2005:06:00,81,77,89,VAR,2,0,29.84 °in
28-9-2005:08:00,81,75,84,SE,9,0,29.93 °in
28-9-2005:09:00,79,73,83,S,9,0,29.93 °in
28-9-2005:10:00,81,73,79,SSW,9,0,29.93 °in
28-9-2005:11:00,86,75,70,SSW,5,0,29.90 °in
28-9-2005:12:00,88,75,66,VAR,3,0,29.88 °in
28-9-2005:13:00,88,75,66,W,9,0,29.84 °in
28-9-2005:15:00,86,75,70,W,6,0,29.80 °in
28-9-2005:16:00,84,73,70,W,6,0,29.80 °in
28-9-2005:18:00,82,75,79,NW,6,0,29.83 °in
28-9-2005:19:00,82,75,79,VAR,2,0,29.81 °in
28-9-2005:20:00,82,75,79,VAR,2,0,29.84 °in
28-9-2005:21:00,81,75,84,NE,5,0,29.86 °in
28-9-2005:22:00,81,77,89,VAR,2,0,29.86 °in
28-9-2005:23:00,81,75,84,CALM,0,0,29.87 °in
29-9-2005:00:00,81,75,84,CALM,0,0,29.86 °in
29-9-2005:01:00,79,75,89,CALM,0,0,29.85 °in
29-9-2005:02:00,79,75,89,CALM,0,0,29.84 °in
29-9-2005:03:00,79,77,94,CALM,0,0,29.83 °in
29-9-2005:05:00,81,77,89,CALM,0,0,29.86 °in
29-9-2005:06:00,79,77,94,CALM,0,0,29.86 °in
29-9-2005:07:00,81,77,89,CALM,0,0,29.90 °in
29-9-2005:08:00,81,77,89,CALM,0,0,29.90 °in
29-9-2005:09:00,86,77,74,E,5,0,29.91 °in
29-9-2005:10:00,88,75,66,E,5,0,29.91 °in
29-9-2005:11:00,90,77,66,NNW,6,0,29.91 °in
29-9-2005:12:00,90,75,62,NW,7,0,29.88 °in
29-9-2005:14:00,86,75,70,VAR,2,0,29.82 °in
29-9-2005:15:00,90,75,62,NW,8,0,29.79 °in
29-9-2005:16:00,88,77,70,NW,8,0,29.77 °in
29-9-2005:17:00,86,77,74,NNW,6,0,29.78 °in
29-9-2005:18:00,84,75,74,N,5,0,29.78 °in
29-9-2005:19:00,84,75,74,NNW,5,0,29.80 °in
29-9-2005:20:00,84,75,74,VAR,2,0,29.83 °in
29-9-2005:21:00,84,75,74,N,6,0,29.84 °in
29-9-2005:22:00,81,75,84,CALM,0,0,29.83 °in
29-9-2005:23:00,81,77,89,CALM,0,0,29.84 °in
30-9-2005:00:00,81,77,89,WNW,6,0,29.84 °in
30-9-2005:01:00,81,77,89,CALM,0,0,29.82 °in
30-9-2005:02:00,81,77,89,CALM,0,0,29.81 °in
30-9-2005:03:00,81,75,84,CALM,0,0,29.78 °in
30-9-2005:04:00,81,77,89,CALM,0,0,29.78 °in
30-9-2005:05:00,79,75,89,CALM,0,0,29.79 °in
30-9-2005:06:00,79,75,89,CALM,0,0,29.81 °in
30-9-2005:07:00,81,77,89,E,5,0,29.80 °in
30-9-2005:08:00,84,79,84,VAR,3,0,29.82 °in
30-9-2005:09:00,86,77,74,VAR,3,0,29.84 °in
30-9-2005:10:00,86,77,74,NNW,5,0,29.84 °in
30-9-2005:11:00,86,77,74,NW,9,0,29.83 °in
30-9-2005:12:00,84,77,79,NW,6,0,29.82 °in
30-9-2005:13:00,81,77,89,VAR,2,0,29.80 °in
30-9-2005:14:00,86,77,74,N,5,0,29.78 °in
30-9-2005:15:00,86,75,70,NNW,9,0,29.75 °in
30-9-2005:17:00,86,75,70,NNW,9,0,29.75 °in
30-9-2005:18:00,84,77,79,NNE,7,0,29.75 °in
30-9-2005:19:00,81,75,84,N,5,0,29.79 °in
30-9-2005:20:00,82,77,84,N,5,0,29.79 °in
30-9-2005:21:00,81,75,84,NE,5,0,29.81 °in
30-9-2005:22:00,82,75,79,NNW,5,0,29.82 °in
30-9-2005:23:00,82,77,84,VAR,2,0,29.83 °in
1-10-2005:00:00,81,75,84,NNW,5,0,29.82 °in
1-10-2005:01:00,81,77,89,NNW,5,0,29.80 °in
1-10-2005:02:00,81,77,89,VAR,2,0,29.78 °in
1-10-2005:03:00,81,77,89,NNW,5,0,29.76 °in
1-10-2005:04:00,81,77,89,CALM,0,0,29.77 °in
1-10-2005:06:00,79,77,94,CALM,0,0,29.79 °in
1-10-2005:07:00,81,79,94,CALM,0,0,29.78 °in
1-10-2005:09:00,86,79,79,SSW,5,0,29.83 °in
1-10-2005:10:00,86,79,79,SSW,9,0,29.83 °in
1-10-2005:10:28,0,0,0,SSW,9,0,29.84 °in
1-10-2005:11:00,82,79,89,VAR,3,0,29.83 °in
1-10-2005:12:00,86,79,79,W,6,0,29.81 °in
1-10-2005:13:00,86,77,74,W,9,0,29.78 °in
1-10-2005:14:00,84,77,79,VAR,2,0,29.77 °in
1-10-2005:15:00,82,77,84,VAR,3,0,29.75 °in
1-10-2005:16:00,82,77,84,W,6,0,29.75 °in
1-10-2005:17:00,82,77,84,SW,7,0,29.76 °in
1-10-2005:18:00,82,77,84,WSW,8,0,29.78 °in
1-10-2005:19:00,82,77,84,W,5,0,29.80 °in
1-10-2005:20:00,82,77,84,VAR,3,0,29.83 °in
1-10-2005:21:00,82,77,84,VAR,2,0,29.84 °in
1-10-2005:22:00,82,77,84,CALM,0,0,29.84 °in
2-10-2005:00:00,81,77,89,VAR,3,0,29.84 °in
2-10-2005:01:00,81,77,89,VAR,3,0,29.84 °in
2-10-2005:02:00,81,77,89,VAR,3,0,29.84 °in
2-10-2005:03:00,81,77,89,VAR,2,0,29.83 °in
2-10-2005:04:00,81,75,84,CALM,0,0,29.81 °in
2-10-2005:05:00,81,75,84,CALM,0,0,29.81 °in
2-10-2005:06:00,79,77,94,VAR,3,0,29.82 °in
2-10-2005:07:00,81,77,89,CALM,0,0,29.83 °in
2-10-2005:08:00,82,75,79,CALM,0,0,29.86 °in
2-10-2005:09:00,86,77,74,SW,6,0,29.86 °in
2-10-2005:11:00,88,77,70,SSW,5,0,29.85 °in
2-10-2005:12:00,88,77,70,W,6,0,29.83 °in
2-10-2005:13:00,88,77,70,W,5,0,29.84 °in
2-10-2005:14:00,88,77,70,W,7,0,29.79 °in
2-10-2005:15:00,88,77,70,WSW,9,0,29.76 °in
2-10-2005:16:00,88,75,66,,0,0,29.75 °in
2-10-2005:17:00,86,75,70,W,5,0,29.77 °in
2-10-2005:18:00,84,75,74,W,5,0,29.78 °in
2-10-2005:19:00,84,75,74,W,7,0,29.79 °in
2-10-2005:20:00,82,75,79,W,6,0,29.81 °in
2-10-2005:21:00,82,75,79,VAR,3,0,29.82 °in
2-10-2005:22:00,82,77,84,VAR,3,0,29.85 °in
2-10-2005:23:00,84,77,79,NW,7,0,29.83 °in
3-10-2005:00:00,82,77,84,W,5,0,29.84 °in
3-10-2005:01:00,82,77,84,WNW,5,0,29.82 °in
3-10-2005:03:00,81,77,89,VAR,2,0,29.80 °in
3-10-2005:04:00,81,77,89,VAR,2,0,29.79 °in
3-10-2005:05:00,81,77,89,VAR,2,0,29.80 °in
3-10-2005:06:00,81,77,89,VAR,2,0,29.81 °in
3-10-2005:07:00,81,77,89,CALM,0,0,29.82 °in
3-10-2005:08:00,84,79,84,VAR,3,0,29.84 °in
3-10-2005:09:00,86,77,74,VAR,3,0,29.85 °in
3-10-2005:10:00,86,77,74,CALM,0,0,29.85 °in
3-10-2005:11:00,88,75,66,W,9,0,29.85 °in
3-10-2005:12:00,88,75,66,W,9,0,29.83 °in
3-10-2005:13:00,88,75,66,WSW,5,0,29.80 °in
3-10-2005:14:00,88,77,70,WNW,5,0,29.77 °in
3-10-2005:15:00,86,77,74,WSW,6,0,29.76 °in
3-10-2005:16:00,86,77,74,SW,5,0,29.74 °in
3-10-2005:17:00,84,77,79,WNW,8,0,29.73 °in
3-10-2005:18:00,84,77,79,VAR,3,0,29.74 °in
3-10-2005:19:00,84,75,74,NW,6,0,29.75 °in
3-10-2005:20:00,82,77,84,W,5,0,29.80 °in
3-10-2005:21:00,82,77,84,W,5,0,29.82 °in
3-10-2005:22:00,82,77,84,W,5,0,29.82 °in
3-10-2005:23:00,82,75,79,CALM,0,0,29.84 °in
